cell_type,n_cells,model,pseudobulk_pearson,pseudobulk_rmse_log1p,encoder,species,organ,target,seed,ratio,n_genes
classical monocyte.,42,train_mean,0.4182304143905639,0.1123514175415039,conch,human,breast,HBCA041,1,1.0,190
cultured cell.,1639,image,0.7785930037498474,0.2487900704145431,conch,human,breast,HBCA041,1,1.0,190
cultured cell.,1639,train_mean,0.5967587232589722,0.3046150803565979,conch,human,breast,HBCA041,1,1.0,190
dendritic cell.,41,image,0.628897488117218,0.1439413577318191,conch,human,breast,HBCA041,1,1.0,190
dendritic cell.,41,train_mean,0.5750877261161804,0.1509145498275756,conch,human,breast,HBCA041,1,1.0,190
endothelial cell.,761,image,0.6934636831283569,0.1746881306171417,conch,human,breast,HBCA041,1,1.0,190
endothelial cell.,761,train_mean,0.5926511287689209,0.1963004320859909,conch,human,breast,HBCA041,1,1.0,190
epithelial cell of lower respiratory tract.,69,image,0.758476197719574,0.1782549023628235,conch,human,breast,HBCA041,1,1.0,190
epithelial cell of lower respiratory tract.,69,train_mean,0.6801810264587402,0.2000712305307388,conch,human,breast,HBCA041,1,1.0,190
epithelial cell.,23,image,0.7021695971488953,0.1370049118995666,conch,human,breast,HBCA041,1,1.0,190
epithelial cell.,23,train_mean,0.6943747997283936,0.1413677781820297,conch,human,breast,HBCA041,1,1.0,190
fibroblast of cardiac tissue.,62,image,0.8287661671638489,0.1353239566087722,conch,human,breast,HBCA041,1,1.0,190
fibroblast of cardiac tissue.,62,train_mean,0.7246034145355225,0.1606277376413345,conch,human,breast,HBCA041,1,1.0,190
fibroblast.,2101,image,0.830075204372406,0.2041311264038086,conch,human,breast,HBCA041,1,1.0,190
fibroblast.,2101,train_mean,0.7286816835403442,0.2423682659864425,conch,human,breast,HBCA041,1,1.0,190
goblet cell.,1880,image,0.7625051140785217,0.2752988040447235,conch,human,breast,HBCA041,1,1.0,190
goblet cell.,1880,train_mean,0.554466187953949,0.3410248458385467,conch,human,breast,HBCA041,1,1.0,190
immature innate lymphoid cell.,35,image,0.8821980953216553,0.145656943321228,conch,human,breast,HBCA041,1,1.0,190
immature innate lymphoid cell.,35,train_mean,0.7243942022323608,0.1860017925500869,conch,human,breast,HBCA041,1,1.0,190
macrophage.,1139,image,0.8167741298675537,0.1303663998842239,conch,human,breast,HBCA041,1,1.0,190
macrophage.,1139,train_mean,0.628462016582489,0.1675280183553695,conch,human,breast,HBCA041,1,1.0,190
mammary alveolar cell.,235,image,0.7987552881240845,0.2658527195453644,conch,human,breast,HBCA041,1,1.0,190
mammary alveolar cell.,235,train_mean,0.808124303817749,0.2959415912628174,conch,human,breast,HBCA041,1,1.0,190
mast cell.,33,image,0.6638994216918945,0.1346354633569717,conch,human,breast,HBCA041,1,1.0,190
mast cell.,33,train_mean,0.6164655685424805,0.1430969387292862,conch,human,breast,HBCA041,1,1.0,190
monocyte.,24,image,0.5753759741783142,0.1178999096155166,conch,human,breast,HBCA041,1,1.0,190
monocyte.,24,train_mean,0.3906784653663635,0.1424338519573211,conch,human,breast,HBCA041,1,1.0,190
native cell.,21,image,0.8063136339187622,0.2127367258071899,conch,human,breast,HBCA041,1,1.0,190
native cell.,21,train_mean,0.6743981838226318,0.2391704022884369,conch,human,breast,HBCA041,1,1.0,190
natural killer cell.,96,image,0.5218955874443054,0.1475564539432525,conch,human,breast,HBCA041,1,1.0,190
natural killer cell.,96,train_mean,0.349100261926651,0.1683151721954345,conch,human,breast,HBCA041,1,1.0,190
secretory cell.,1358,image,0.7552649974822998,0.2549046277999878,conch,human,breast,HBCA041,1,1.0,190
secretory cell.,1358,train_mean,0.6547399759292603,0.3000072240829468,conch,human,breast,HBCA041,1,1.0,190
smooth muscle cell.,155,image,0.8043268322944641,0.0997852385044097,conch,human,breast,HBCA041,1,1.0,190
smooth muscle cell.,155,train_mean,0.7215705513954163,0.1174553856253624,conch,human,breast,HBCA041,1,1.0,190
stratified epithelial cell.,314,image,0.7428981065750122,0.2196773290634155,conch,human,breast,HBCA041,1,1.0,190
stratified epithelial cell.,314,train_mean,0.572983980178833,0.263555645942688,conch,human,breast,HBCA041,1,1.0,190
stromal cell.,215,image,0.7390023469924927,0.1324498057365417,conch,human,breast,HBCA041,1,1.0,190
stromal cell.,215,train_mean,0.6726556420326233,0.146063283085823,conch,human,breast,HBCA041,1,1.0,190
tracheal goblet cell.,86,image,0.7183593511581421,0.2576137185096741,conch,human,breast,HBCA041,1,1.0,190
tracheal goblet cell.,86,train_mean,0.5105069279670715,0.3127169609069824,conch,human,breast,HBCA041,1,1.0,190
B cell.,193,image,0.3558781743049621,0.1524532735347747,conch,human,breast,HBCA041,2,1.0,190
B cell.,193,train_mean,0.2778754830360412,0.1668358594179153,conch,human,breast,HBCA041,2,1.0,190
"CD8-positive, alpha-beta T cell.",55,image,0.4691703617572784,0.1130918785929679,conch,human,breast,HBCA041,2,1.0,190
"CD8-positive, alpha-beta T cell.",55,train_mean,0.3126635551452636,0.1342225521802902,conch,human,breast,HBCA041,2,1.0,190
T cell.,399,image,0.4541997909545898,0.1595892608165741,conch,human,breast,HBCA041,2,1.0,190
T cell.,399,train_mean,0.2968369424343109,0.1794883161783218,conch,human,breast,HBCA041,2,1.0,190
basal cell of epidermis.,100,image,0.4483236372470855,0.2044769525527954,conch,human,breast,HBCA041,2,1.0,190
basal cell of epidermis.,100,train_mean,0.4018328487873077,0.2084210067987442,conch,human,breast,HBCA041,2,1.0,190
basal cell of epithelium of bronchus.,28,image,0.5834275484085083,0.1606939285993576,conch,human,breast,HBCA041,2,1.0,190
basal cell of epithelium of bronchus.,28,train_mean,0.5251670479774475,0.1681631356477737,conch,human,breast,HBCA041,2,1.0,190
basal cell of prostate epithelium.,31,image,0.5735558271408081,0.1684565842151641,conch,human,breast,HBCA041,2,1.0,190
basal cell of prostate epithelium.,31,train_mean,0.5308259129524231,0.1695446521043777,conch,human,breast,HBCA041,2,1.0,190
basal cell.,123,image,0.6617937088012695,0.200309619307518,conch,human,breast,HBCA041,2,1.0,190
basal cell.,123,train_mean,0.6258484721183777,0.2176185548305511,conch,human,breast,HBCA041,2,1.0,190
ciliated cell of the bronchus.,33,image,0.7630041241645813,0.2144811302423477,conch,human,breast,HBCA041,2,1.0,190
ciliated cell of the bronchus.,33,train_mean,0.5642087459564209,0.2718067765235901,conch,human,breast,HBCA041,2,1.0,190
ciliated cell.,455,image,0.774135410785675,0.2547192573547363,conch,human,breast,HBCA041,2,1.0,190
ciliated cell.,455,train_mean,0.5639753937721252,0.3192411363124847,conch,human,breast,HBCA041,2,1.0,190
classical monocyte.,42,image,0.580346405506134,0.0874481871724128,conch,human,breast,HBCA041,2,1.0,190
classical monocyte.,42,train_mean,0.4182304143905639,0.1123514175415039,conch,human,breast,HBCA041,2,1.0,190
cultured cell.,1639,image,0.7818952202796936,0.2474326193332672,conch,human,breast,HBCA041,2,1.0,190
cultured cell.,1639,train_mean,0.5967587232589722,0.3046150803565979,conch,human,breast,HBCA041,2,1.0,190
dendritic cell.,41,image,0.6262633204460144,0.144153207540512,conch,human,breast,HBCA041,2,1.0,190
dendritic cell.,41,train_mean,0.5750877261161804,0.1509145498275756,conch,human,breast,HBCA041,2,1.0,190
endothelial cell.,761,image,0.6946473121643066,0.1747574657201767,conch,human,breast,HBCA041,2,1.0,190
endothelial cell.,761,train_mean,0.5926511287689209,0.1963004320859909,conch,human,breast,HBCA041,2,1.0,190
epithelial cell of lower respiratory tract.,69,image,0.7611501812934875,0.1768469363451004,conch,human,breast,HBCA041,2,1.0,190
epithelial cell of lower respiratory tract.,69,train_mean,0.6801810264587402,0.2000712305307388,conch,human,breast,HBCA041,2,1.0,190
epithelial cell.,23,image,0.7098615765571594,0.1355460584163665,conch,human,breast,HBCA041,2,1.0,190
epithelial cell.,23,train_mean,0.6943747997283936,0.1413677781820297,conch,human,breast,HBCA041,2,1.0,190
fibroblast of cardiac tissue.,62,image,0.826175332069397,0.1366599947214126,conch,human,breast,HBCA041,2,1.0,190
fibroblast of cardiac tissue.,62,train_mean,0.7246034145355225,0.1606277376413345,conch,human,breast,HBCA041,2,1.0,190
fibroblast.,2101,image,0.8303889036178589,0.2039788961410522,conch,human,breast,HBCA041,2,1.0,190
fibroblast.,2101,train_mean,0.7286816835403442,0.2423682659864425,conch,human,breast,HBCA041,2,1.0,190
goblet cell.,1880,image,0.7636960744857788,0.2744573652744293,conch,human,breast,HBCA041,2,1.0,190
goblet cell.,1880,train_mean,0.554466187953949,0.3410248458385467,conch,human,breast,HBCA041,2,1.0,190
immature innate lymphoid cell.,35,image,0.879520833492279,0.146069049835205,conch,human,breast,HBCA041,2,1.0,190
immature innate lymphoid cell.,35,train_mean,0.7243942022323608,0.1860017925500869,conch,human,breast,HBCA041,2,1.0,190
macrophage.,1139,image,0.8187500238418579,0.1297860145568847,conch,human,breast,HBCA041,2,1.0,190
macrophage.,1139,train_mean,0.628462016582489,0.1675280183553695,conch,human,breast,HBCA041,2,1.0,190
mammary alveolar cell.,235,image,0.7989158034324646,0.2653529942035675,conch,human,breast,HBCA041,2,1.0,190
mammary alveolar cell.,235,train_mean,0.808124303817749,0.2959415912628174,conch,human,breast,HBCA041,2,1.0,190
mast cell.,33,image,0.6643690466880798,0.134565070271492,conch,human,breast,HBCA041,2,1.0,190
mast cell.,33,train_mean,0.6164655685424805,0.1430969387292862,conch,human,breast,HBCA041,2,1.0,190
monocyte.,24,image,0.5717929005622864,0.1183117479085922,conch,human,breast,HBCA041,2,1.0,190
monocyte.,24,train_mean,0.3906784653663635,0.1424338519573211,conch,human,breast,HBCA041,2,1.0,190
native cell.,21,image,0.8004717826843262,0.2140169292688369,conch,human,breast,HBCA041,2,1.0,190
native cell.,21,train_mean,0.6743981838226318,0.2391704022884369,conch,human,breast,HBCA041,2,1.0,190
natural killer cell.,96,image,0.5238154530525208,0.1474377065896988,conch,human,breast,HBCA041,2,1.0,190
natural killer cell.,96,train_mean,0.349100261926651,0.1683151721954345,conch,human,breast,HBCA041,2,1.0,190
secretory cell.,1358,image,0.7557536959648132,0.2545265853404999,conch,human,breast,HBCA041,2,1.0,190
secretory cell.,1358,train_mean,0.6547399759292603,0.3000072240829468,conch,human,breast,HBCA041,2,1.0,190
smooth muscle cell.,155,image,0.8051854372024536,0.0996349230408668,conch,human,breast,HBCA041,2,1.0,190
smooth muscle cell.,155,train_mean,0.7215705513954163,0.1174553856253624,conch,human,breast,HBCA041,2,1.0,190
stratified epithelial cell.,314,image,0.7467455863952637,0.2183418273925781,conch,human,breast,HBCA041,2,1.0,190
stratified epithelial cell.,314,train_mean,0.572983980178833,0.263555645942688,conch,human,breast,HBCA041,2,1.0,190
stromal cell.,215,image,0.7417382597923279,0.131873220205307,conch,human,breast,HBCA041,2,1.0,190
stromal cell.,215,train_mean,0.6726556420326233,0.146063283085823,conch,human,breast,HBCA041,2,1.0,190
tracheal goblet cell.,86,image,0.7206932902336121,0.2564888596534729,conch,human,breast,HBCA041,2,1.0,190
tracheal goblet cell.,86,train_mean,0.5105069279670715,0.3127169609069824,conch,human,breast,HBCA041,2,1.0,190
"Analyze the following list of 200 genes sorted by decreasing expression levels in a Human cell and determine its cell type.
Cell sentence:.
Based on these genes, the corresponding cell type is: neuron.",35,image,,0.197577953338623,conch,human,breast,HBCH024,0,1.0,192
"Analyze the following list of 200 genes sorted by decreasing expression levels in a Human cell and determine its cell type.
Cell sentence:.
Based on these genes, the corresponding cell type is: neuron.",35,train_mean,,0.25054931640625,conch,human,breast,HBCH024,0,1.0,192
B cell.,149,image,0.0724668577313423,0.1819678395986557,conch,human,breast,HBCH024,0,1.0,192
B cell.,149,train_mean,-0.0680212825536727,0.2487321496009826,conch,human,breast,HBCH024,0,1.0,192
"Below is a list of 200 gene names in order of descending expression level from a Human cell. Based on this, predict what the cell type of this cell is.
Cell sentence:.
These genes are most likely associated with cell type: neuron.",29,image,,0.1757015734910965,conch,human,breast,HBCH024,0,1.0,192
"Below is a list of 200 gene names in order of descending expression level from a Human cell. Based on this, predict what the cell type of this cell is.
Cell sentence:.
These genes are most likely associated with cell type: neuron.",29,train_mean,,0.25054931640625,conch,human,breast,HBCH024,0,1.0,192
"Below is a list of 200 gene names sorted by descending expression in a Human cell. Determine the cell type of this cell from its expressed genes.
Cell sentence:.
The associated cell type for these genes appears to be: neuron.",29,image,,0.1880775392055511,conch,human,breast,HBCH024,0,1.0,192
"Below is a list of 200 gene names sorted by descending expression in a Human cell. Determine the cell type of this cell from its expressed genes.
Cell sentence:.
The associated cell type for these genes appears to be: neuron.",29,train_mean,,0.25054931640625,conch,human,breast,HBCH024,0,1.0,192
"Below is a list of 200 genes ordered by descending expression in a Human cell. Use this information to determine the cell type.
Cell sentence:.
These genes suggest the cell type is most likely: neuron.",43,image,,0.1935906261205673,conch,human,breast,HBCH024,0,1.0,192
"Below is a list of 200 genes ordered by descending expression in a Human cell. Use this information to determine the cell type.
Cell sentence:.
These genes suggest the cell type is most likely: neuron.",43,train_mean,,0.2505493462085724,conch,human,breast,HBCH024,0,1.0,192
"CD4-positive, alpha-beta T cell.",213,image,0.1504881680011749,0.1847265809774398,conch,human,breast,HBCH024,0,1.0,192
"CD4-positive, alpha-beta T cell.",213,train_mean,-0.0077851302921772,0.2484293431043625,conch,human,breast,HBCH024,0,1.0,192
"CD8-positive, alpha-beta T cell.",456,image,0.110261395573616,0.185359314084053,conch,human,breast,HBCH024,0,1.0,192
"CD8-positive, alpha-beta T cell.",456,train_mean,-0.0299388505518436,0.2478045225143432,conch,human,breast,HBCH024,0,1.0,192
"Examine the list of 200 gene names sorted by decreasing expression in a Human cell, and from this, identify its cell type.
Cell sentence:.
These genes are commonly found in cell type: neuron.",31,image,,0.1841971129179,conch,human,breast,HBCH024,0,1.0,192
"Examine the list of 200 gene names sorted by decreasing expression in a Human cell, and from this, identify its cell type.
Cell sentence:.
These genes are commonly found in cell type: neuron.",31,train_mean,,0.25054931640625,conch,human,breast,HBCH024,0,1.0,192
"From the list of 200 gene names ordered by decreasing expression level in a Human cell, infer the cell type of the cell.
Cell sentence:.
These genes suggest the cell type is most likely: neuron.",33,image,,0.1924154460430145,conch,human,breast,HBCH024,0,1.0,192
"From the list of 200 gene names ordered by decreasing expression level in a Human cell, infer the cell type of the cell.
Cell sentence:.
These genes suggest the cell type is most likely: neuron.",33,train_mean,,0.25054931640625,conch,human,breast,HBCH024,0,1.0,192
"From the list of 200 gene names sorted by decreasing expression levels in a Human cell, predict the cell type.
Cell sentence:.
The genes provided are most commonly expressed in cell type: neuron.",34,image,,0.1736036241054535,conch,human,breast,HBCH024,0,1.0,192
"From the list of 200 gene names sorted by decreasing expression levels in a Human cell, predict the cell type.
Cell sentence:.
The genes provided are most commonly expressed in cell type: neuron.",34,train_mean,,0.25054931640625,conch,human,breast,HBCH024,0,1.0,192
GABAergic neuron.,175,image,0.2039543390274047,0.2168913334608078,conch,human,breast,HBCH024,0,1.0,192
GABAergic neuron.,175,train_mean,0.2075298279523849,0.2491299659013748,conch,human,breast,HBCH024,0,1.0,192
"Given the list of 200 gene names ordered by descending expression level from a Human cell, identify the cell type.
Cell sentence:.
The probable cell type for these genes is: neuron.",29,image,,0.1869854778051376,conch,human,breast,HBCH024,0,1.0,192
"Given the list of 200 gene names ordered by descending expression level from a Human cell, identify the cell type.
Cell sentence:.
The probable cell type for these genes is: neuron.",29,train_mean,,0.25054931640625,conch,human,breast,HBCH024,0,1.0,192
"Here is a list of 200 genes in order of descending expression level from a Human cell. Identify the cell type of this cell based on this information.
Cell sentence:.
The expected cell type based on these genes is: neuron.",33,image,,0.1973165571689605,conch,human,breast,HBCH024,0,1.0,192
"Here is a list of 200 genes in order of descending expression level from a Human cell. Identify the cell type of this cell based on this information.
Cell sentence:.
The expected cell type based on these genes is: neuron.",33,train_mean,,0.25054931640625,conch,human,breast,HBCH024,0,1.0,192
"Here is a list of 200 genes ordered by expression level in a Human cell. Based on this information, identify the cell type.
Cell sentence:.
Based on the expression levels, the cell type would likely be: neuron.",33,image,,0.1908126771450042,conch,human,breast,HBCH024,0,1.0,192
"Here is a list of 200 genes ordered by expression level in a Human cell. Based on this information, identify the cell type.
Cell sentence:.
Based on the expression levels, the cell type would likely be: neuron.",33,train_mean,,0.25054931640625,conch,human,breast,HBCH024,0,1.0,192
T cell.,565,image,0.1294044107198715,0.1842568069696426,conch,human,breast,HBCH024,0,1.0,192
T cell.,565,train_mean,-0.01050516217947,0.247088074684143,conch,human,breast,HBCH024,0,1.0,192
"The 200 gene names below are arranged by descending expression level in a Human cell. Determine the cell type of this cell.
Cell sentence:.
The cell type that these genes are most commonly linked with is: neuron.",34,image,,0.1687154620885849,conch,human,breast,HBCH024,0,1.0,192
"The 200 gene names below are arranged by descending expression level in a Human cell. Determine the cell type of this cell.
Cell sentence:.
The cell type that these genes are most commonly linked with is: neuron.",34,train_mean,,0.25054931640625,conch,human,breast,HBCH024,0,1.0,192
"The 200 gene names below are listed by descending expression level in a Human cell. Predict the cell type based on this information.
Cell sentence:.
These genes are indicative of cell type: neuron.",36,image,,0.1534020453691482,conch,human,breast,HBCH024,0,1.0,192
"The 200 gene names below are listed by descending expression level in a Human cell. Predict the cell type based on this information.
Cell sentence:.
These genes are indicative of cell type: neuron.",36,train_mean,,0.25054931640625,conch,human,breast,HBCH024,0,1.0,192
"The 200 gene names below are listed by descending expression levels in a Human cell. Based on this, predict the cell type.
Cell sentence:.
The cell type corresponding to these genes is: neuron.",34,image,,0.1898912340402603,conch,human,breast,HBCH024,0,1.0,192
"The 200 gene names below are listed by descending expression levels in a Human cell. Based on this, predict the cell type.
Cell sentence:.
The cell type corresponding to these genes is: neuron.",34,train_mean,,0.25054931640625,conch,human,breast,HBCH024,0,1.0,192
"The following is a list of 200 gene names ordered by descending expression level in a Human cell. Your task is to give the cell type which this cell belongs to based on its gene expression.
Cell sentence:.
The cell type corresponding to these genes is: neuron.",38,image,,0.1888730823993683,conch,human,breast,HBCH024,0,1.0,192
"The following is a list of 200 gene names ordered by descending expression level in a Human cell. Your task is to give the cell type which this cell belongs to based on its gene expression.
Cell sentence:.
The cell type corresponding to these genes is: neuron.",38,train_mean,,0.25054931640625,conch,human,breast,HBCH024,0,1.0,192
"The following list contains 200 gene names ordered by descending expression level in a Human cell. Deduce the cell type based on this.
Cell sentence:.
These genes typically correspond to cell type: CD74 MALAT1 RPLP1 RPL41 RPL10 RPS12 RPL13 RPL32 RPS18 RPL18A RPL28 RPS8 RPL19 RPS23 RPS19 RPL11 RPS27A RPL30 RPS15A RPS3A RPL39 RPS28 RPS15 RPL12 RPS27 RPL8 RPL29 RPS13 RPL7A RPS3 RPL34 RPS14 RPL18 RPS7 RPLP0 RPL35A RPS5 RPLP2 RPS24 RPL37 RPS4X RPL3 RPS21 RPL36 RPS6 RPL5 RPL14 RPS25 RPL35 RPS9 RPL6 RPL15 RPL9 RPSA RPL21 RPL10A RPL23A RPS2 RPL24 RPL37A RPS16 RPL13A RPL22 RPS29 EEF1B2 RPL7 RACK1 RPL4 RPL31 RPL27 RPS26 RPL38 RPL26 RPS11 RPL27A TPT1 RPS20 EEF1D NACA RPL23 PTMA RPS4Y1 FAU RPL17 TMSB10 EEF2 UBA52 RPL36A PFDN5 EEF1G B2M RPS17 TMSB4X FTL ACTB HLA-DRA HLA-DRB1 HLA-DPA1 HLA-DPB1 HLA-B EIF1 PABPC1 CD37 HLA-DQA1 HLA-C BTF3 COX4I1 NPM1 HLA-DRB5 HLA-DQB1 HNRNPA1 PFN1 CD79A FTH1 H3-3B NME2 TOMM7 HLA-DMA H3-3A RPL36AL HLA-E RPL22L1 EIF3E PPDPF TMA7 EIF3F CD52 RPS10 EIF3K RPL36AL HLA-A EIF3H NOP53 RPS4Y2 HINT1 RPL35 PPIA UBC EIF3L EIF3F PNRC1 EIF3K RPS15P4 RPL8 TSC22D3 HNRNPA2B1 EIF3H SERF2 RPL23 ATP5MC2 RPL31-AS1 EIF4A2 RPL7P9 ATP5F1E NAP1L1 RPL10P9 UQCRH EIF3G EIF3M SLC25A6 EIF3D PSMB9 TMEM258 RPS3AP6 UQCRB RPL22L2 RPL36P2 RPSAP9 EIF3E-AS1 RPL10P6 RPL13AP5 EIF4A1 RPL26P19 RPSAP9 PSMB1 ATP5MG RPL3P4 RPL9P9 RPSAP8 RPSAP4 SNHG29 RPL26P6 RPL24P8 RPSAP2 RPL13AP25 RPSAP18 RPL15P2 RPL37P2 RPSAP6 RPL13AP7.
These genes typically correspond to cell type: memory B cell.",24,image,,0.1839129477739334,conch,human,breast,HBCH024,0,1.0,192
"The following list contains 200 gene names ordered by descending expression level in a Human cell. Deduce the cell type based on this.
Cell sentence:.
These genes typically correspond to cell type: CD74 MALAT1 RPLP1 RPL41 RPL10 RPS12 RPL13 RPL32 RPS18 RPL18A RPL28 RPS8 RPL19 RPS23 RPS19 RPL11 RPS27A RPL30 RPS15A RPS3A RPL39 RPS28 RPS15 RPL12 RPS27 RPL8 RPL29 RPS13 RPL7A RPS3 RPL34 RPS14 RPL18 RPS7 RPLP0 RPL35A RPS5 RPLP2 RPS24 RPL37 RPS4X RPL3 RPS21 RPL36 RPS6 RPL5 RPL14 RPS25 RPL35 RPS9 RPL6 RPL15 RPL9 RPSA RPL21 RPL10A RPL23A RPS2 RPL24 RPL37A RPS16 RPL13A RPL22 RPS29 EEF1B2 RPL7 RACK1 RPL4 RPL31 RPL27 RPS26 RPL38 RPL26 RPS11 RPL27A TPT1 RPS20 EEF1D NACA RPL23 PTMA RPS4Y1 FAU RPL17 TMSB10 EEF2 UBA52 RPL36A PFDN5 EEF1G B2M RPS17 TMSB4X FTL ACTB HLA-DRA HLA-DRB1 HLA-DPA1 HLA-DPB1 HLA-B EIF1 PABPC1 CD37 HLA-DQA1 HLA-C BTF3 COX4I1 NPM1 HLA-DRB5 HLA-DQB1 HNRNPA1 PFN1 CD79A FTH1 H3-3B NME2 TOMM7 HLA-DMA H3-3A RPL36AL HLA-E RPL22L1 EIF3E PPDPF TMA7 EIF3F CD52 RPS10 EIF3K RPL36AL HLA-A EIF3H NOP53 RPS4Y2 HINT1 RPL35 PPIA UBC EIF3L EIF3F PNRC1 EIF3K RPS15P4 RPL8 TSC22D3 HNRNPA2B1 EIF3H SERF2 RPL23 ATP5MC2 RPL31-AS1 EIF4A2 RPL7P9 ATP5F1E NAP1L1 RPL10P9 UQCRH EIF3G EIF3M SLC25A6 EIF3D PSMB9 TMEM258 RPS3AP6 UQCRB RPL22L2 RPL36P2 RPSAP9 EIF3E-AS1 RPL10P6 RPL13AP5 EIF4A1 RPL26P19 RPSAP9 PSMB1 ATP5MG RPL3P4 RPL9P9 RPSAP8 RPSAP4 SNHG29 RPL26P6 RPL24P8 RPSAP2 RPL13AP25 RPSAP18 RPL15P2 RPL37P2 RPSAP6 RPL13AP7.
These genes typically correspond to cell type: memory B cell.",24,train_mean,,0.25054931640625,conch,human,breast,HBCH024,0,1.0,192
astrocyte.,163,image,0.4100681245326996,0.2236573994159698,conch,human,breast,HBCH024,0,1.0,192
astrocyte.,163,train_mean,0.3838797211647033,0.2490175664424896,conch,human,breast,HBCH024,0,1.0,192
cortical cell of adrenal gland.,67,image,0.533592164516449,0.2348165363073349,conch,human,breast,HBCH024,0,1.0,192
cortical cell of adrenal gland.,67,train_mean,0.498194545507431,0.2453323155641555,conch,human,breast,HBCH024,0,1.0,192
cultured cell.,228,image,0.7425051331520081,0.254670113325119,conch,human,breast,HBCH024,0,1.0,192
cultured cell.,228,train_mean,0.6522740721702576,0.2260978072881698,conch,human,breast,HBCH024,0,1.0,192
endothelial cell of lymphatic vessel.,97,image,0.677036464214325,0.2300426214933395,conch,human,breast,HBCH024,0,1.0,192
endothelial cell of lymphatic vessel.,97,train_mean,0.6428074836730957,0.2335517108440399,conch,human,breast,HBCH024,0,1.0,192
endothelial cell of vascular tree.,336,image,0.7534630298614502,0.2447581589221954,conch,human,breast,HBCH024,0,1.0,192
endothelial cell of vascular tree.,336,train_mean,0.6946359276771545,0.2257338464260101,conch,human,breast,HBCH024,0,1.0,192
endothelial cell.,3013,image,0.6865265965461731,0.223593384027481,conch,human,breast,HBCH024,0,1.0,192
endothelial cell.,3013,train_mean,0.6292933821678162,0.2372962087392807,conch,human,breast,HBCH024,0,1.0,192
enterocyte.,25,image,0.7394921779632568,0.2915185093879699,conch,human,breast,HBCH024,0,1.0,192
enterocyte.,25,train_mean,0.6176384091377258,0.2030231207609176,conch,human,breast,HBCH024,0,1.0,192
epithelial cell of lower respiratory tract.,743,image,0.7886045575141907,0.3063851594924927,conch,human,breast,HBCH024,0,1.0,192
epithelial cell of lower respiratory tract.,743,train_mean,0.6556003093719482,0.1877838224172592,conch,human,breast,HBCH024,0,1.0,192
epithelial cell of proximal tubule.,208,image,0.783106803894043,0.2862910032272339,conch,human,breast,HBCH024,0,1.0,192
epithelial cell of proximal tubule.,208,train_mean,0.6503657698631287,0.1970622688531875,conch,human,breast,HBCH024,0,1.0,192
epithelial cell.,70,image,0.7617202997207642,0.3033206760883331,conch,human,breast,HBCH024,0,1.0,192
epithelial cell.,70,train_mean,0.6345176100730896,0.1957477331161499,conch,human,breast,HBCH024,0,1.0,192
erythroblast.,121,image,0.2696808576583862,0.2172376662492752,conch,human,breast,HBCH024,0,1.0,192
erythroblast.,121,train_mean,0.1891227811574936,0.2446753084659576,conch,human,breast,HBCH024,0,1.0,192
fibroblast of cardiac tissue.,25,image,0.4391471445560455,0.2388287037611007,conch,human,breast,HBCH024,0,1.0,192
fibroblast of cardiac tissue.,25,train_mean,0.3597151637077331,0.239862859249115,conch,human,breast,HBCH024,0,1.0,192
fibroblast.,352,image,0.4682169556617737,0.2280656397342682,conch,human,breast,HBCH024,0,1.0,192
fibroblast.,352,train_mean,0.4769758582115173,0.2264768183231353,conch,human,breast,HBCH024,0,1.0,192
glutamatergic neuron.,833,image,0.3632904887199402,0.2183127850294113,conch,human,breast,HBCH024,0,1.0,192
glutamatergic neuron.,833,train_mean,0.3737448751926422,0.2501133382320404,conch,human,breast,HBCH024,0,1.0,192
goblet cell.,103,image,0.7772652506828308,0.3100828528404236,conch,human,breast,HBCH024,0,1.0,192
goblet cell.,103,train_mean,0.6379798054695129,0.186321884393692,conch,human,breast,HBCH024,0,1.0,192
innate lymphoid cell.,34,image,0.1650539338588714,0.1948413252830505,conch,human,breast,HBCH024,0,1.0,192
innate lymphoid cell.,34,train_mean,0.0364195182919502,0.2449808567762375,conch,human,breast,HBCH024,0,1.0,192
intestinal epithelial cell.,54,image,0.7655618190765381,0.3041961789131164,conch,human,breast,HBCH024,0,1.0,192
intestinal epithelial cell.,54,train_mean,0.630614697933197,0.1824192702770233,conch,human,breast,HBCH024,0,1.0,192
kidney collecting duct principal cell.,29,image,0.1429840624332428,0.244129940867424,conch,human,breast,HBCH024,0,1.0,192
kidney collecting duct principal cell.,29,train_mean,0.0446100234985351,0.2492071986198425,conch,human,breast,HBCH024,0,1.0,192
kidney distal convoluted tubule epithelial cell.,24,image,,0.2479366809129715,conch,human,breast,HBCH024,0,1.0,192
kidney distal convoluted tubule epithelial cell.,24,train_mean,,0.25054931640625,conch,human,breast,HBCH024,0,1.0,192
kidney loop of Henle thick ascending limb epithelial cell.,341,image,0.6963225603103638,0.2301504164934158,conch,human,breast,HBCH024,0,1.0,192
kidney loop of Henle thick ascending limb epithelial cell.,341,train_mean,0.6297222971916199,0.2434897869825363,conch,human,breast,HBCH024,0,1.0,192
kidney proximal convoluted tubule epithelial cell.,195,image,0.3189434111118316,0.2169073075056076,conch,human,breast,HBCH024,0,1.0,192
kidney proximal convoluted tubule epithelial cell.,195,train_mean,0.2804408669471741,0.2495115995407104,conch,human,breast,HBCH024,0,1.0,192
